n 9
m 2
n_day 1
hl 1439
o 3
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 845

peak_start
1080

peak_end
1259

v
1.2
1
0.8

lambda
1.5
1
0.6

pi
192
149

processing
18	59	
48	7	
68	70	
71	67	
23	73	
73	4	
71	6	
38	31	
97	83	

setup
0	4	4	8	2	3	7	3	6	
8	0	6	1	8	7	3	6	6	
8	5	0	5	6	5	3	4	3	
6	7	2	0	5	4	3	3	2	
5	3	5	6	0	5	7	4	6	
7	8	4	7	3	0	8	4	5	
7	6	3	3	6	2	0	4	4	
5	4	5	1	5	4	8	0	7	
8	5	6	7	3	6	7	5	0	

0	3	7	4	4	3	3	3	4	
2	0	7	3	4	2	2	2	4	
1	3	0	3	3	3	3	2	5	
1	3	6	0	7	5	5	6	5	
4	3	8	6	0	5	7	2	3	
6	6	3	4	8	0	2	8	8	
6	7	4	4	7	7	0	5	5	
6	4	7	7	6	8	8	0	5	
4	5	7	5	5	2	1	5	0	

