n 10
m 2
n_day 1
hl 1439
o 3
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 722

peak_start
1080

peak_end
1259

v
1.2
1
0.8

lambda
1.5
1
0.6

pi
149
121

processing
59	48	
7	68	
70	71	
67	23	
73	73	
4	71	
6	38	
31	97	
83	98	
30	6	

setup
0	2	3	7	3	6	8	2	1	4	
3	0	2	6	2	7	8	3	3	4	
5	5	0	3	5	7	5	3	3	5	
7	6	5	0	2	6	6	3	6	1	
2	1	2	3	0	5	5	1	7	3	
7	7	6	7	6	0	2	6	4	6	
8	7	6	6	5	1	0	6	4	6	
4	4	3	4	3	3	2	0	3	6	
5	4	3	3	3	6	5	5	0	2	
4	4	4	4	4	2	1	6	4	0	

0	6	1	7	2	2	2	5	4	1	
2	0	2	7	2	2	2	5	4	2	
6	8	0	6	7	8	8	5	6	7	
4	8	7	0	1	5	6	8	5	4	
7	5	4	8	0	4	6	5	7	7	
6	7	7	6	6	0	4	6	3	4	
5	8	7	2	2	3	0	6	1	2	
3	7	6	8	8	8	8	0	8	8	
4	7	6	8	8	6	7	4	0	8	
3	5	4	4	4	6	4	6	4	0	

