n 50
m 10
n_day 1
hl 1439
o 5
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 1160

peak_start
1080

peak_end
1259

v
1.2
1.1
1
0.9
0.8

lambda
1.5
1.25
1
0.8
0.6

pi
143
46
177
155
153
135
146
52
49
181

processing
59	48	7	68	70	71	67	23	73	73	
4	71	6	38	31	97	83	98	30	6	
6	1	95	97	60	80	58	85	10	17	
58	68	20	64	91	46	91	59	24	65	
88	27	92	93	65	24	47	5	23	32	
10	28	33	6	81	48	41	40	88	50	
13	4	73	32	67	66	33	15	80	57	
36	25	83	29	19	5	8	66	9	30	
97	19	13	85	78	93	89	21	89	78	
26	57	81	1	44	6	22	77	74	57	
35	65	82	73	49	56	78	56	77	86	
41	32	60	54	18	40	4	62	16	48	
96	95	6	34	51	50	93	72	82	69	
85	18	89	68	46	40	25	25	95	4	
67	38	89	82	47	62	77	6	26	92	
54	23	45	15	56	95	64	7	69	3	
75	11	74	65	78	22	60	58	46	57	
17	68	50	7	52	52	69	30	57	94	
78	12	72	24	81	83	20	46	89	44	
49	21	54	24	42	87	1	3	47	3	
15	19	70	20	26	77	71	50	63	30	
1	42	95	72	21	77	12	94	79	57	
40	83	33	49	62	30	92	63	33	94	
65	3	14	90	23	93	69	49	44	33	
78	44	30	31	71	50	9	39	45	43	
95	40	27	83	45	45	15	38	9	3	
87	29	5	2	20	81	95	44	32	94	
76	65	40	61	95	66	12	6	6	13	
4	56	8	31	41	52	75	11	45	39	
13	33	67	17	89	42	54	41	86	85	
36	19	51	31	36	48	97	3	9	58	
15	12	70	77	96	66	84	28	76	31	
66	88	19	88	60	63	86	15	5	29	
55	95	3	8	27	38	11	79	41	19	
39	11	84	10	87	38	75	73	65	8	
59	87	95	33	32	12	96	19	27	56	
47	37	52	6	44	79	43	10	59	83	
82	53	94	68	18	38	7	48	66	27	
55	26	15	7	15	3	19	12	21	1	
23	24	37	75	29	37	11	71	46	25	
12	30	78	61	53	95	54	15	45	22	
41	55	47	12	62	61	14	80	28	88	
36	51	13	72	81	95	64	91	24	12	
17	35	95	50	51	49	3	6	63	3	
27	59	57	30	70	20	46	83	55	74	
73	90	80	41	20	18	38	83	10	61	
50	80	51	46	32	3	50	88	62	14	
90	89	73	48	74	98	24	21	83	78	
50	13	26	31	53	1	48	46	39	13	
8	89	93	14	90	80	16	42	69	78	

setup
0	5	8	6	3	3	3	5	2	7	1	6	7	1	3	5	3	7	3	5	1	3	2	3	3	8	3	4	1	8	2	2	4	1	7	7	4	1	3	5	8	3	2	6	3	4	2	5	2	4	
1	0	8	6	3	3	3	5	2	7	1	6	7	1	3	5	3	7	3	5	1	3	2	3	3	8	3	4	1	8	2	2	4	1	7	7	4	1	3	5	8	3	2	6	3	4	2	5	2	4	
3	5	0	7	3	3	4	7	4	4	5	8	6	5	6	2	5	8	6	2	5	5	5	4	4	7	6	2	5	6	4	5	5	5	3	4	4	5	5	2	7	5	5	7	4	5	4	7	5	3	
8	8	4	0	4	4	2	6	4	5	2	7	5	3	8	4	7	6	7	4	3	3	5	2	6	4	3	3	4	8	2	6	6	6	5	4	3	6	4	3	7	5	2	6	5	5	4	4	4	2	
1	5	7	8	0	8	8	7	8	5	8	7	5	7	3	6	4	6	5	8	8	8	5	8	8	7	7	7	6	7	8	7	5	7	6	7	6	5	7	7	5	7	8	3	8	7	8	6	7	8	
1	5	8	6	5	0	8	8	5	4	6	6	2	8	4	5	5	5	7	7	6	5	4	4	4	5	3	3	4	6	7	6	6	6	3	4	8	3	3	8	6	5	4	6	8	5	6	6	4	6	
5	6	4	4	3	8	0	3	7	8	3	5	7	4	6	4	8	6	5	5	7	7	5	7	7	7	8	6	7	4	4	4	3	6	8	7	4	6	7	3	6	7	7	5	7	8	5	3	8	8	
1	5	7	5	6	3	6	0	5	6	5	6	4	4	1	6	7	6	4	6	7	2	8	3	3	8	3	5	6	3	7	6	4	3	8	6	8	6	8	6	3	6	2	6	4	3	4	5	6	8	
3	5	8	3	5	6	4	5	0	6	5	7	3	5	5	7	4	6	6	4	6	5	6	5	4	5	6	1	3	5	8	8	7	3	4	6	6	3	5	7	3	5	5	2	3	4	4	4	8	6	
2	5	5	7	6	4	8	6	6	0	6	6	7	3	6	5	4	7	6	7	7	2	3	4	7	4	5	6	5	7	4	8	3	4	3	3	4	5	7	2	5	4	4	5	5	8	7	6	8	1	
3	6	7	2	4	8	7	6	2	6	0	6	2	4	8	4	3	4	2	6	7	5	7	7	5	8	6	4	3	7	7	4	5	4	4	6	5	2	3	6	2	7	5	7	3	8	7	6	4	6	
1	5	8	7	4	6	8	7	7	8	3	0	3	3	7	5	3	3	3	5	6	5	6	7	3	7	4	2	3	7	7	5	4	4	3	7	5	3	1	6	3	8	3	6	2	8	5	7	2	7	
1	5	4	5	2	7	8	7	8	4	8	8	0	7	2	4	8	6	6	8	6	6	5	2	6	5	6	7	8	4	5	4	5	5	6	5	8	8	8	3	6	7	8	6	8	8	6	3	8	6	
2	5	5	4	3	6	7	8	6	2	6	7	6	0	6	8	4	5	5	7	6	8	6	6	7	2	5	6	6	8	3	4	2	8	3	2	7	7	5	7	8	7	7	6	5	4	1	7	8	6	
8	8	5	4	4	7	5	6	2	5	3	6	4	5	0	6	4	8	7	3	3	6	2	8	4	5	7	8	3	6	3	2	5	7	5	4	3	6	6	3	4	5	6	8	3	6	5	5	8	2	
1	5	5	3	4	5	5	6	4	7	6	4	4	6	6	0	6	3	4	5	6	6	6	3	7	6	2	6	7	5	7	6	3	2	7	3	6	2	1	5	7	5	7	8	7	4	6	3	8	6	
8	8	1	7	6	7	6	7	8	4	3	5	6	5	7	6	0	6	6	3	4	8	7	6	6	5	6	4	7	6	3	1	5	6	2	5	8	5	6	6	4	7	8	6	4	5	8	6	4	3	
